"","agrp","rsex","ethnicgrpr","sexidr","rnssecgp_6","adj_imd_quintile","rwcasual","snnolov","snpres","snold","snsexdrv","snmedia","snearly","attconservative","dage1ch","disabil2","depscr","religimp","relstatr","total_wt"
"2265",3,2,1,1,2,5,2,3,1,3,4,1,3,0.113251365935238,24,2,0,1,NA,0.536296834261773
"2266",2,1,1,1,4,5,2,2,5,2,3,3,2,-0.935408545971709,31,1,0,2,2,1.15673031817669
"2267",2,1,1,1,4,5,3,1,2,1,1,5,3,-1.264414424043,24,1,0,4,2,0.944032990715828
"2268",6,2,1,1,7,5,1,4,4,2,2,2,1,0.923643218386239,22,2,0,4,1,1.66380315886882
"2269",1,2,1,1,1,5,3,3,2,3,2,3,2,-0.216710220180284,21,1,0,4,2,0.695676687771836
"2270",3,2,1,1,1,3,3,2,3,3,3,3,2,-0.870427232479534,25,1,0,2,2,0.897700097601304
"2271",5,2,1,1,4,5,3,2,3,2,4,3,2,-0.845224827332515,18,3,0,3,4,1.28982319709839
"2272",1,2,2,1,8,3,1,5,8,8,2,3,2,NA,-1,1,0,3,7,2.1526426344269
"2273",2,1,1,2,1,1,5,1,2,1,1,4,3,-1.23604011708631,-1,1,0,4,7,1.01409285341727
"2274",1,2,1,1,8,4,3,3,4,8,3,2,2,NA,-1,2,0,3,3,0.894808125484616
"2275",6,1,1,1,5,4,8,2,2,2,4,4,3,-2.25536278301535,29,2,0,1,1,1.65004905361871
"2276",5,1,2,2,5,5,1,2,4,4,4,3,2,-1.14811223140894,25,2,0,3,4,1.06056888435616
"2277",2,2,1,1,2,5,1,3,4,5,5,4,3,-2.0819831094972,20,1,0,4,6,0.305100573457563
"2278",1,1,1,1,5,4,1,2,2,8,2,2,2,NA,-1,1,0,3,3,1.51817636064043
"2279",3,2,1,1,2,4,1,2,4,4,4,4,3,-1.93669661222116,-1,3,0,3,2,0.75043836104168
"2280",3,2,1,1,5,4,1,2,2,2,2,2,2,0.447237189239078,19,1,0,3,3,1.50087672208336
"2281",2,1,1,1,1,1,5,2,4,3,3,2,2,-1.06350361384601,-1,1,0,4,2,0.711900909209366
"2282",4,2,1,1,1,2,5,1,3,4,5,1,2,-1.30217925314851,-1,1,0,4,6,0.807429321280828
"2283",2,1,2,1,1,1,1,4,5,3,2,2,1,0.492873319547693,-1,3,0,4,7,1.31488640137656
"2284",1,2,1,1,1,2,3,2,2,2,2,2,2,0.110035483961571,-1,1,0,3,7,1.78879226813996
"2285",6,1,1,1,1,3,2,4,2,4,3,2,2,0.172180147416626,25,1,0,3,1,1.65004905361871
"2286",2,1,1,1,1,1,2,2,3,3,2,2,2,-0.152133562238221,-1,1,0,3,1,0.738222141000233
"2287",1,2,1,1,8,3,3,1,1,3,2,1,1,0.66260182397384,-1,1,0,1,7,1.18495068233493
"2288",2,2,1,1,2,1,3,2,3,2,2,3,3,-0.899999585173809,27,1,0,2,1,0.650643260136935
"2289",1,1,1,1,8,2,2,3,1,2,1,1,1,1.7209377297118,-1,1,0,3,7,0.417898305522893
"2290",6,2,1,1,1,2,1,2,2,4,4,2,2,-0.339634842528435,26,1,0,4,5,0.74314126474449
"2291",1,1,1,1,1,2,3,1,3,4,3,3,2,-1.32789596160264,-1,1,0,2,2,0.643203142097441
"2292",2,2,1,1,1,2,1,2,1,3,4,1,1,0.879719437122332,-1,1,0,2,6,0.274301101030664
"2293",2,1,2,1,4,2,3,2,3,3,2,2,3,-0.743742783455006,18,2,0,3,2,1.76840486567026
"2294",3,2,1,1,5,3,2,3,2,4,5,1,1,0.344381398884387,20,1,1,4,6,0.999522819937134
"2295",2,2,1,1,5,1,1,3,5,4,2,2,2,-0.387603778153449,26,1,0,1,6,0.305100573457563
"2296",2,1,1,1,1,5,5,2,2,2,1,2,1,0.379958952630465,-1,1,0,3,2,1.03365901122728
"2297",5,2,1,1,4,5,1,2,2,2,5,2,1,0.317895141712002,18,1,0,3,1,2.19254234130296
"2298",4,1,1,1,1,3,5,1,3,2,2,3,3,-1.48535080905904,31,1,0,3,5,1.02155787423478
"2299",2,2,1,1,5,3,3,1,1,2,3,3,2,-0.466356163925553,-1,1,1,4,3,0.383105974530557
"2300",2,1,1,1,3,5,4,2,2,3,4,2,2,-0.636118189929308,-1,1,1,4,3,1.2396632773137
"2301",4,1,2,1,5,5,2,4,4,4,2,2,2,-0.0866044238613211,-1,1,0,1,1,2.04311574846955
"2302",2,1,1,1,1,4,3,3,2,2,4,3,2,-0.375624620401634,-1,3,0,2,3,1.33928267179932
"2303",3,2,1,1,7,5,3,2,1,2,2,1,1,1.12007055309695,25,1,0,4,1,1.79530287866254
"2304",2,2,1,1,1,4,8,2,2,3,3,3,2,-1.49198080735014,-1,1,0,3,2,0.591350965596084
"2305",2,1,1,1,4,5,2,5,5,3,4,1,1,0.569764387014114,-1,1,0,4,7,0.51905434326254
"2306",2,1,2,1,1,3,1,5,1,2,3,1,1,2.01760400882926,27,1,0,2,1,0.767432120520213
"2307",2,2,1,1,1,5,8,3,2,4,3,2,1,-0.664566118445586,-1,1,0,2,7,0.481048665001678
"2308",1,1,1,1,8,3,4,2,3,4,2,3,2,-1.06423049026531,-1,1,0,4,7,0.426537372525045
"2309",3,1,1,1,1,2,1,2,2,4,4,2,1,0.0833735260495965,32,1,0,2,1,1.62914911917487
"2310",2,2,1,1,1,2,3,1,2,4,4,1,2,-0.559410054179475,31,1,0,3,1,0.543731455411453
"2311",1,2,1,1,8,2,3,4,2,8,4,2,3,NA,-1,1,0,4,7,0.400228199358326
"2312",6,1,1,1,5,4,2,2,2,2,2,1,1,1.06722071741255,20,2,1,2,4,0.738127844414267
"2313",6,1,1,1,5,2,3,3,2,2,3,2,2,0.174068197200925,23,2,0,3,4,0.738127844414267
"2314",4,2,1,1,7,4,5,1,1,5,1,4,1,-1.00584953366864,-1,3,0,1,6,0.688175480201421
"2315",4,2,1,1,1,2,1,2,1,2,2,2,1,1.09169624614027,19,1,0,4,1,2.33996582678978
"2316",2,1,2,1,2,3,3,2,3,3,2,2,2,-0.320734414876975,-1,1,0,2,2,0.848346969815319
"2317",1,2,2,1,1,3,1,1,1,4,4,2,2,-0.366333672813,-1,1,0,3,7,1.14399832032727
"2318",6,2,1,1,7,3,2,3,1,3,3,1,1,1.14338490845967,-1,1,0,2,NA,0.537813384598771
"2319",5,2,1,1,1,3,1,4,1,3,3,1,1,1.56013527970615,30,1,0,1,1,1.10758543874434
"2320",1,2,1,1,8,2,8,3,2,8,2,2,2,NA,-1,1,0,2,3,0.894808125484616
"2321",4,2,1,1,1,2,3,2,3,2,4,4,2,-1.21080083956671,28,1,0,2,2,1.35750345953497
"2322",2,1,1,1,1,1,3,3,4,4,4,3,2,-1.23716441807873,-1,2,0,4,1,0.848346969815319
"2323",3,2,1,1,99,1,3,3,2,2,2,2,2,0.358185002569294,27,1,0,1,1,1.01446789671953
"2324",2,1,2,1,4,1,3,2,1,1,4,3,2,-0.193004240170812,-1,2,0,2,2,0.59469672659027
"2325",1,1,1,1,8,5,3,2,2,2,2,4,3,-1.04412490908484,-1,1,0,4,3,0.389429457873658
"2326",1,2,1,1,8,5,3,2,2,4,2,2,1,0.114405431508828,-1,1,0,4,7,0.353558552914417
"2327",1,1,1,1,8,5,2,2,3,3,2,3,3,-0.940717943050443,-1,1,0,3,3,1.16828837362098
"2328",4,1,2,1,8,3,3,4,2,2,3,4,1,0.114074059918299,99,3,9,2,NA,0.862389274024902
"2329",3,2,1,1,1,4,3,2,1,4,5,2,1,-0.216494296273121,-1,1,0,2,6,0.598434292887515
"2330",1,2,1,1,8,2,3,2,3,3,1,2,2,-0.136617609508605,-1,3,0,3,3,0.729634335239145
"2331",2,2,2,1,8,3,3,4,3,2,2,2,2,0.384883832853858,24,2,0,2,1,0.543731455411453
"2332",2,1,1,1,5,1,3,3,2,4,3,4,4,-1.82173898545429,-1,1,0,2,7,0.473129918514668
"2333",2,2,2,1,3,2,1,2,2,2,1,2,1,1.05436236318548,29,1,0,4,2,0.543731455411453
"2334",3,1,1,1,99,3,5,1,2,3,3,3,2,-1.23432776804161,26,1,0,4,1,1.62074901645447
"2335",4,1,1,1,1,5,3,2,2,3,2,2,3,-0.522292095131848,24,1,0,4,1,1.8175191554717
"2336",2,1,2,1,5,5,4,3,1,2,1,1,1,1.38373602443429,-1,1,0,2,7,0.599798548031974
"2337",2,2,1,1,1,4,3,2,3,3,2,1,1,0.467849965935247,-1,1,1,2,7,1.06563690363799
"2338",1,2,1,2,2,4,3,2,2,3,4,1,2,-0.101941325056365,-1,1,0,3,7,1.12379151727199
"2339",4,1,1,1,1,5,2,2,3,3,4,3,3,-1.30895155378718,-1,1,0,3,3,1.14044490286459
"2340",2,2,2,1,8,4,1,4,2,2,2,3,2,0.577960214220333,-1,1,0,1,2,0.995574687404215
"2341",2,2,1,1,5,5,1,3,2,2,4,3,2,-0.0384229151241275,18,3,0,3,1,0.481048665001678
"2342",2,2,1,1,5,5,1,3,1,2,1,1,1,1.88953858235055,19,1,1,3,1,0.481048665001678
"2343",4,2,1,1,5,5,3,2,1,1,1,3,2,0.359346175934296,31,3,0,2,2,1.28980459699939
"2344",5,1,1,1,1,1,1,2,3,2,3,2,3,-0.381338673030481,30,2,0,4,1,1.58330866137794
"2345",1,1,1,1,5,2,3,1,4,3,3,2,2,-0.974451427176225,-1,1,0,3,7,1.46892605730125
"2346",4,2,1,1,1,1,1,4,1,4,4,1,2,0.743690895244358,29,1,0,1,1,2.03625518930245
"2347",4,2,2,1,2,5,2,4,4,2,5,1,2,0.145259593298536,16,1,1,1,3,0.651758952673636
"2348",4,1,2,1,5,4,1,5,5,4,5,4,4,-2.02082391866755,32,1,0,4,1,1.8175191554717
"2349",4,2,2,1,1,5,1,5,1,2,3,1,1,2.01760400882926,28,2,1,2,6,1.30351790534727
"2350",2,2,1,1,7,5,1,4,3,3,4,2,1,0.567541085457271,18,1,0,3,2,0.443884961372019
"2351",4,1,1,1,4,5,5,2,3,3,3,2,2,-0.842052925522851,22,1,0,3,3,0.779921855812205
"2352",1,1,1,1,5,5,2,3,2,8,8,8,2,NA,17,1,0,4,2,1.00217456049598
"2353",3,2,1,1,1,2,1,4,2,2,2,2,2,0.943536226454523,28,3,0,2,1,0.936789618637803
"2354",4,1,1,1,5,5,4,2,2,2,3,2,2,-0.242682174045552,21,2,0,3,5,0.78965440899471
"2355",2,2,2,1,1,1,2,3,2,3,2,1,1,1.10605102550488,-1,1,0,2,2,0.383105974530557
"2356",2,1,1,2,1,1,5,1,2,3,2,2,2,-0.684634950439046,-1,2,0,4,2,0.495507855224801
"2357",3,2,1,1,2,1,2,4,2,3,4,3,2,-0.168193459670546,24,1,0,2,6,1.17498330851767
"2358",4,2,1,1,1,1,3,1,1,4,4,1,1,0.0850490027217148,18,1,0,3,5,0.62947536611396
"2359",1,2,1,1,2,4,1,3,2,3,1,1,1,1.458768683512,21,3,1,4,3,0.270725420732531
"2360",5,2,1,1,7,4,1,3,1,2,2,2,1,1.33984576474799,26,2,1,2,4,0.485731720102496
"2361",3,1,1,1,5,5,5,1,3,3,3,4,3,-2.24436283717698,-1,1,0,4,7,0.972216667142202
"2362",5,1,1,1,3,2,5,2,8,4,8,2,8,NA,31,1,0,4,3,0.982177790878286
"2363",1,2,2,1,8,5,3,3,2,3,3,3,2,-0.400827025548653,-1,1,0,1,3,0.53817948561476
"2364",2,1,1,1,3,4,5,2,1,3,4,4,2,-1.31442037871328,22,1,0,4,2,1.57161664848384
"2365",2,2,2,1,8,5,5,8,2,2,1,1,2,NA,18,1,0,2,1,0.629915690394667
"2366",4,2,1,1,4,1,1,3,3,4,3,3,2,-0.494395219109691,20,1,0,4,1,1.37635096040284
"2367",3,2,1,1,2,1,1,5,1,4,2,1,1,1.78308239316685,26,2,0,1,1,1.17741190597421
"2368",2,1,1,1,1,1,1,2,1,2,1,2,1,1.27581305150864,33,1,0,3,1,1.11026774562939
"2369",2,2,1,1,2,1,1,3,2,3,4,2,1,0.540842255172707,30,1,0,2,1,0.628073309959807
"2370",3,1,1,1,1,1,1,3,3,4,2,3,2,-0.310278413741322,-1,1,0,4,1,2.17806948609472
"2371",2,2,1,1,4,1,3,3,2,3,4,2,2,-0.219367818682832,25,2,0,4,1,0.733912845793908
"2372",4,2,1,1,1,3,1,3,2,3,2,3,1,0.543499853675255,30,1,0,3,5,1.37635096040284
"2373",3,2,1,1,5,4,8,1,1,1,2,2,1,-0.127340030423342,22,3,0,1,6,2.1561849281782
"2374",1,1,1,1,5,3,1,1,1,4,3,1,2,0.183359144789559,-1,1,0,2,7,0.354732713676148
"2375",4,2,2,1,1,3,5,3,2,5,1,2,2,-0.422857528886006,17,2,0,1,5,0.584032678113706
"2376",3,1,1,1,3,3,3,2,2,2,2,4,2,-0.621116540506809,-1,1,0,3,7,0.715853506522602
"2377",3,1,1,1,2,4,4,2,2,4,3,2,3,-1.08432896365436,-1,3,1,2,1,2.32718750739626
"2378",2,2,1,1,1,4,1,2,2,2,2,2,2,0.447237189239078,21,1,0,3,2,0.947297172876997
"2379",2,1,1,1,2,1,3,3,2,2,4,2,2,-0.0100486081674445,-1,1,0,2,1,1.76840486567026
"2380",3,2,2,1,1,1,1,5,2,2,2,1,1,1.98027012587447,31,1,0,3,1,1.17498330851767
"2381",2,2,1,1,1,1,3,3,2,3,4,2,1,0.2036405498952,-1,3,0,4,1,0.766211949061114
"2382",6,2,1,1,5,5,1,5,1,2,2,2,2,1.4131364333854,99,1,9,3,NA,0.778861084972906
"2383",1,1,1,1,5,1,2,2,1,4,3,1,1,0.68591617933656,-1,1,0,4,3,0.490520910966625
"2384",3,1,1,2,1,1,5,2,2,5,3,2,1,-0.616232289652436,-1,2,0,3,6,1.6234347268817
"2385",2,1,1,1,4,2,4,2,2,3,3,2,2,-0.452001384560939,-1,1,0,4,2,0.944032990715828
"2386",4,2,1,1,7,3,1,1,1,1,1,1,1,1.60255875565049,-1,3,1,1,6,0.666369433200013
"2387",3,2,1,1,1,3,3,2,2,2,2,2,2,0.110035483961571,37,1,0,2,1,1.4397766300287
"2388",2,1,1,1,5,1,5,1,2,2,5,3,3,-1.81625053684099,-1,3,0,3,7,0.597304452017133
"2389",3,1,1,1,1,2,1,5,1,2,3,1,1,2.01760400882926,-1,1,0,1,7,0.814574559587437
"2390",1,2,1,1,8,2,3,2,2,3,4,2,1,-0.044508968712523,-1,1,0,2,3,0.891981226453563
"2391",1,2,1,1,1,4,3,2,3,8,4,4,2,NA,-1,1,0,4,2,0.658824885172434
"2392",6,1,1,1,5,4,4,2,1,3,2,1,1,0.74215048994281,25,2,0,2,1,1.48366464262716
"2393",5,1,1,1,7,5,3,3,3,8,3,1,1,NA,-1,3,0,2,7,1.77666547670297
"2394",4,1,1,1,2,4,1,3,4,3,3,2,1,0.282057683894759,26,1,0,2,3,1.02155787423478
"2395",4,1,1,1,5,3,2,2,3,4,4,2,2,-0.729686383490347,27,3,0,3,1,2.04311574846955
"2396",2,2,1,1,7,5,1,1,3,1,2,5,1,-0.486763475300954,-1,3,0,4,7,0.34697948104076
"2397",1,1,1,1,2,5,1,4,2,2,1,8,1,NA,17,1,0,3,2,0.839588305884718
"2398",2,2,1,1,5,2,2,3,3,4,4,2,2,-0.481536864882624,30,1,1,1,1,0.766211949061114
"2399",5,2,1,1,5,2,1,2,1,2,2,2,2,0.668687877562236,20,1,0,2,5,0.737770665993857
"2400",3,2,1,1,1,2,1,1,2,3,3,1,3,-0.251780701596243,33,1,0,4,1,0.981815936742381
"2401",4,2,1,1,1,3,1,4,4,2,2,1,2,0.866210862042397,40,1,0,2,4,1.30209936520044
"2402",2,2,1,1,2,4,2,4,2,2,4,3,2,0.0411257508448417,24,3,0,4,2,0.389333020308869
"2403",3,2,1,1,2,3,1,3,2,2,1,1,2,1.24507952544936,26,2,0,4,1,1.25234379209026
"2404",2,2,1,1,5,3,3,4,2,2,2,2,2,0.606334521177016,19,1,0,4,6,0.26279479977814
"2405",2,2,1,1,5,3,1,3,1,3,4,2,1,0.762292943495865,21,1,0,4,1,0.332548767719252
"2406",3,2,1,1,2,1,3,2,2,4,3,2,2,-0.492719742437573,21,1,0,2,1,1.25234379209026
"2407",1,2,1,1,6,3,3,2,3,2,4,3,1,-0.422216458754484,-1,1,0,4,3,0.280799848321085
"2408",1,1,1,1,6,2,1,5,4,4,4,4,1,-0.346231319241931,-1,3,-1,1,7,0.529546723879349
"2409",4,2,1,1,3,1,2,3,2,3,3,3,2,-0.232226172909899,32,2,0,3,1,1.33273886640003
"2410",6,1,1,1,7,1,2,3,2,2,1,2,1,1.13391102915445,99,1,0,3,5,0.980447699073227
"2411",1,2,1,1,8,1,1,3,3,2,2,2,1,0.896944388101674,-1,1,0,3,7,0.402670739911146
"2412",5,2,1,1,2,1,3,3,2,2,2,2,2,0.358185002569294,25,1,0,3,1,1.66980133112544
"2413",5,1,1,1,1,1,3,2,2,4,4,2,2,-0.676836547805942,27,2,0,1,1,1.60719165092554
"2414",3,2,1,1,1,3,2,2,1,3,2,1,1,1.07935219522032,-1,1,0,2,1,2.4170189462955
"2415",1,2,1,1,1,4,2,3,2,4,2,2,2,0.108147434177272,-1,1,0,3,3,0.424312081505444
"2416",4,2,1,1,1,4,3,1,2,4,5,3,2,-1.47467888401622,18,3,0,4,5,0.62947536611396
"2417",4,1,1,1,4,5,1,2,1,2,2,3,3,-0.119896503249985,-1,1,0,4,1,1.99428588995497
"2418",2,2,1,2,4,5,8,2,2,4,2,4,2,-1.88275922473135,-1,1,0,4,1,0.306928511372829
"2419",2,1,1,1,3,5,3,2,1,2,1,3,1,0.57303533399694,-1,1,1,2,3,0.460514462017288
"2420",4,2,1,1,2,1,1,2,2,2,4,3,2,-0.28657243373185,22,3,0,2,1,1.01670011412532
"2421",2,2,1,1,1,4,8,2,2,2,4,1,1,-0.312618009156713,-1,1,0,2,2,0.537119544471516
"2422",1,2,1,1,8,2,3,2,4,8,2,2,2,NA,-1,1,0,3,7,0.400228199358326
